ETF_ID,Ticker,ETF_Name,Asset_Class
VWRP,VWRP.L,Vanguard FTSE All-World UCITS ETF,Equity
SWDA,SWDA.L,iShares Core MSCI World UCITS ETF,Equity
VUAG,VUAG.L,Vanguard S&P 500 UCITS ETF,Equity
ISF,ISF.L,iShares Core FTSE 100 UCITS ETF,Equity
EQQQ,EQQQ.L,Invesco EQQQ Nasdaq-100 UCITS ETF,Equity
VEUR,VEUR.L,Vanguard FTSE Developed Europe UCITS ETF,Equity
VJPN,VJPN.L,Vanguard FTSE Japan UCITS ETF,Equity
VFEG,VFEG.L,Vanguard FTSE Emerging Markets UCITS ETF,Equity
ICHN,ICHN.AS,iShares MSCI China UCITS ETF,Equity
IUIT,IUIT.L,iShares S&P 500 Information Technology Sector UCITS ETF,Equity
IUHC,IUHC.L,iShares S&P 500 Health Care Sector UCITS ETF,Equity
INRG,INRG.L,iShares Global Clean Energy Transition UCITS ETF,Equity
VGOV,VGOV.L,Vanguard U.K. Gilt UCITS ETF,Bond
IGLO,IGLO.L,iShares Global Govt Bond UCITS ETF,Bond
IBTG,IBTG.L,iShares $ Treasury Bond 1-3yr UCITS ETF GBP Hedged,Bond
AGGG,AGGG.L,iShares Core Global Aggregate Bond UCITS ETF,Bond
CORP,CORP.L,iShares Global Corp Bond UCITS ETF,Bond
GHYS,GHYS.L,iShares Global High Yield Corp Bond GBP Hedged UCITS ETF,Bond
IWDP,IWDP.L,iShares Developed Markets Property Yield UCITS ETF,Property
