ETF_ID,ETF_Name,Ticker,Asset_Class,Sector,Weight (%),Source_Quality,Data_As_Of,Source_URL,Notes
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Technology,35.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Financials,14.8,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Industrials,12.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Consumer Discretionary,11.0,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Health Care,7.8,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Consumer Staples,3.9,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Energy,3.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Telecommunications,3.5,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Basic Materials,3.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Equity,Utilities,2.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_All-World_UCITS_ETF_USD_Accumulating_9679_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
