Ticker,Base_Model,Volatility_Focused,Downside_Focused,Equal_Weights,Largest_Absolute_Change
VWRP.L,0.0,-1.0,1.0,-2.0,2.0
SWDA.L,0.0,-1.0,2.0,-1.0,2.0
VUAG.L,0.0,0.0,1.0,-1.0,1.0
ISF.L,0.0,0.0,0.0,0.0,0.0
EQQQ.L,0.0,0.0,0.0,0.0,0.0
VEUR.L,0.0,-1.0,0.0,-1.0,1.0
VJPN.L,0.0,-1.0,-3.0,-1.0,3.0
VFEG.L,0.0,0.0,1.0,1.0,1.0
IUIT.L,0.0,0.0,0.0,0.0,0.0
IUHC.L,0.0,-1.0,0.0,0.0,1.0
INRG.L,0.0,0.0,0.0,0.0,0.0
VGOV.L,0.0,5.0,-2.0,5.0,5.0
IGLO.L,0.0,1.0,0.0,1.0,1.0
IBTG.L,0.0,0.0,0.0,0.0,0.0
AGGG.L,0.0,0.0,-1.0,0.0,1.0
CORP.L,0.0,1.0,0.0,0.0,1.0
GHYS.L,0.0,0.0,0.0,0.0,0.0
SGLN.L,0.0,-2.0,1.0,-1.0,2.0
IWDP.L,0.0,0.0,0.0,0.0,0.0
ICHN.AS,0.0,0.0,0.0,0.0,0.0
