Ticker,Base_Model,Volatility_Focused,Downside_Focused,Equal_Weights
VWRP.L,12.0,11.0,13.0,10.0
SWDA.L,10.0,9.0,12.0,9.0
VUAG.L,7.0,7.0,8.0,6.0
ISF.L,14.0,14.0,14.0,14.0
EQQQ.L,4.0,4.0,4.0,4.0
VEUR.L,9.0,8.0,9.0,8.0
VJPN.L,13.0,12.0,10.0,12.0
VFEG.L,6.0,6.0,7.0,7.0
IUIT.L,3.0,3.0,3.0,3.0
IUHC.L,11.0,10.0,11.0,11.0
INRG.L,2.0,2.0,2.0,2.0
VGOV.L,8.0,13.0,6.0,13.0
IGLO.L,16.0,17.0,16.0,17.0
IBTG.L,20.0,20.0,20.0,20.0
AGGG.L,18.0,18.0,17.0,18.0
CORP.L,15.0,16.0,15.0,15.0
GHYS.L,19.0,19.0,19.0,19.0
SGLN.L,17.0,15.0,18.0,16.0
IWDP.L,5.0,5.0,5.0,5.0
ICHN.AS,1.0,1.0,1.0,1.0
