Ticker,Base_Model,Volatility_Focused,Downside_Focused,Equal_Weights
VWRP.L,38.63446058754384,40.12300658663369,35.77886999148031,42.886843207076005
SWDA.L,39.975304087511695,41.56386562618835,36.991507953537905,44.266251517162004
VUAG.L,42.78244528946968,44.54675927696394,39.7576506425039,47.15088411374685
ISF.L,34.33657272597398,36.34746147015739,32.222801814998135,36.89105244064196
EQQQ.L,64.36571058383942,65.22069689132394,62.11365823179945,68.48178414182522
VEUR.L,41.48116772736536,43.08162600780848,39.147473304465855,44.64398610048873
VJPN.L,38.60468238061231,39.63866907050428,37.387530120960825,40.11486153660075
VFEG.L,44.07157648137231,45.50740681511527,42.40157763244039,46.03228560151321
IUIT.L,75.861123441765,77.04249333951644,73.7108732321404,79.07686927490985
IUHC.L,38.75590473013111,40.46217142644543,37.12372564259428,40.159998168727164
INRG.L,88.58544581861048,87.34374310335507,90.35547395733492,88.02779832897478
VGOV.L,42.50867710437291,39.48550203075624,47.52249682181708,37.082768123500344
IGLO.L,24.637704106665286,22.296220712912106,28.01571338825019,21.45609996509702
IBTG.L,0.0,0.0,0.0,0.0
AGGG.L,22.846049859294904,20.610922230934612,25.90505637083502,20.22150211011061
CORP.L,25.57249607926775,23.202884854808367,28.681827704546613,23.40960209292929
GHYS.L,18.534560466429436,18.05234093770383,18.84988088576521,19.032094018838887
SGLN.L,24.395211736101118,27.2026504022299,23.65214776645748,22.04965536048855
IWDP.L,50.0650014159296,48.85431490467141,50.932544279840556,50.816774903947206
ICHN.AS,96.06101737905405,96.06101737905405,97.37401158603603,93.43502896509008
